Date,Salesperson,Customer Name,Car Make,Car Model,Car Year,Sale Price,Commission Rate,Commission Earned
08/01/22,Monica Moore MD,Mary Butler,Nissan,Altima,2018,15983,0.070495228,1126.73
03/15/23,Roberto Rose,Richard Pierce,Nissan,F-150,2016,38474,0.134438837,5172.4
04/29/23,Ashley Ramos,Sandra Moore,Ford,Civic,2016,33340,0.114535922,3818.63
09/04/22,Patrick Harris,Johnny Scott,Ford,Altima,2013,41937,0.092190722,3866.2
06/16/22,Eric Lopez,Vanessa Jones,Honda,Silverado,2022,20256,0.113489793,2298.85
12/18/22,Terry Perkins MD,John Olsen,Ford,Altima,2015,14769,0.077246935,1140.86
06/12/22,Ashley Brown,Tyler Lawson,Honda,F-150,2013,41397,0.14278012,5910.67
06/20/22,Norma Watkins,Michael Bond,Ford,Altima,2015,46233,0.071623758,3311.38
09/02/22,Scott Parker,Stephanie Smith,Ford,Corolla,2021,27337,0.099503651,2720.13
04/06/23,Andrew Smith,Ashley Moreno DDS,Ford,Civic,2018,16309,0.149925782,2445.14
03/12/23,Harold Nelson,Isaac Patton,Honda,Silverado,2021,41259,0.09254116,3818.16
01/29/23,Richard Richardson,Justin Gray,Toyota,Silverado,2022,48224,0.090592146,4368.72
05/29/22,Mia Acosta,Rebecca Best,Ford,Altima,2017,36409,0.122348852,4454.6
08/12/22,Lisa Campbell,Lisa Anderson,Toyota,F-150,2011,29628,0.112326294,3328
04/06/23,Carrie Howard,Rodney Black,Chevrolet,Altima,2021,10313,0.103874895,1071.26
12/21/22,James Velasquez,Natalie Thompson,Honda,Corolla,2016,36607,0.055250978,2022.57
08/12/22,Kristin Holmes,Michael Hill,Nissan,Altima,2010,39916,0.052007775,2075.94
08/23/22,Amy Solomon,Taylor Moore,Nissan,Silverado,2018,18482,0.086185324,1592.88
10/18/22,William Williams,Jordan Taylor,Toyota,Civic,2013,17158,0.127227796,2182.97
03/09/23,Patricia Reynolds,Alison Walker,Ford,Altima,2014,28796,0.093451209,2691.02
09/28/22,Michelle Gonzalez,Juan Davies,Ford,Corolla,2014,24128,0.084780882,2045.59
12/20/22,Jennifer Morris,Kristin Robinson,Toyota,Civic,2011,36895,0.128288109,4733.19
07/26/22,Jeremiah Thompson,Clifford Evans,Nissan,Altima,2013,16797,0.144237331,2422.75
07/18/22,Matthew White,Nancy Martinez,Chevrolet,Altima,2020,30184,0.136991193,4134.94
12/19/22,Jason Riley,Ruben Gomez,Nissan,Civic,2010,41587,0.084404408,3510.13
02/15/23,Faith Pierce,Jimmy Dunn,Honda,Silverado,2016,35279,0.063399664,2236.68
06/23/22,Samuel Brown,David Wagner,Chevrolet,F-150,2016,33502,0.122923326,4118.18
07/14/22,Amber Cooper,Claire Day,Nissan,F-150,2018,30296,0.100170363,3034.76
07/17/22,Paul Potter,Corey West,Honda,Corolla,2018,28406,0.085246638,2421.52
12/11/22,Jason Cabrera,Rebecca Hansen,Chevrolet,F-150,2012,20725,0.145073441,3006.65
07/18/22,Brenda Morales,Jason Hahn,Ford,Altima,2011,23330,0.068980756,1609.32
05/13/22,Christian Williams,Jerry Baker,Chevrolet,Silverado,2019,41216,0.12869098,5304.13
09/05/22,Stephanie Trujillo,April Morales,Ford,Silverado,2022,43188,0.099220141,4285.12
12/30/22,Shawn Cummings,Kelly Beasley,Chevrolet,Altima,2013,15064,0.053381651,804.14
07/02/22,Lacey Cooper,Jennifer Brown,Toyota,Altima,2015,36019,0.098335927,3541.96
02/04/23,Jennifer Stevens MD,Brittany Gonzales,Chevrolet,Civic,2019,23249,0.141622041,3292.57
10/08/22,Kristen Becker,Ryan Medina,Nissan,Civic,2016,38278,0.056340279,2156.59
01/24/23,Julie Aguirre,Timothy Mccoy,Nissan,Silverado,2018,38307,0.07953119,3046.6
04/15/23,Victor Murillo,Matthew Anderson,Chevrolet,Corolla,2015,36834,0.080895726,2979.71
08/10/22,Nicole Williams,Richard Wolf,Ford,Civic,2012,31941,0.102854838,3285.29
05/25/22,Heather Davidson,Rachel Madden,Honda,Civic,2011,17997,0.062692864,1128.28
02/15/23,Betty Young,Lynn Villarreal,Honda,Corolla,2015,44250,0.115044401,5090.71
04/18/23,Chad Davis,Jesse Dunn,Nissan,Corolla,2013,13194,0.118621261,1565.09
11/14/22,Lauren Hernandez,Amanda Combs,Ford,Civic,2012,29108,0.122976628,3579.6
05/24/22,David Diaz,Amy Sanchez,Chevrolet,F-150,2013,26168,0.136261663,3565.7
03/23/23,Brian Moran,Matthew Peterson,Chevrolet,Civic,2013,14864,0.077744275,1155.59
09/03/22,Amanda Butler,Sabrina Williams,Toyota,Corolla,2012,28564,0.061851657,1766.73
07/02/22,Jacob Bishop,Marc Caldwell,Nissan,Corolla,2021,21224,0.093014227,1974.13
12/16/22,Michael Walton,Edgar Smith,Nissan,Corolla,2011,29018,0.145968717,4235.72
03/13/23,John Newton,Carrie Hudson,Toyota,F-150,2016,45367,0.081734072,3708.03
08/17/22,Kristen Martinez,Colleen Fischer,Chevrolet,Altima,2021,17832,0.051852876,924.64
01/03/23,Kimberly Maldonado,Kristine Hernandez,Ford,Civic,2014,39908,0.108985073,4349.38
11/30/22,Tara Hubbard,Virginia Joyce,Toyota,Corolla,2016,14609,0.091409362,1335.4
04/13/23,Valerie Sanchez,Carlos Fields,Nissan,Altima,2022,13508,0.146756353,1982.38
12/24/22,Kevin Mitchell,Christie Odonnell,Chevrolet,F-150,2022,13280,0.122885977,1631.93
02/11/23,David Gomez,Linda Conrad,Nissan,Altima,2019,46164,0.144673804,6678.72
08/10/22,Rebecca Pearson,Randall Thompson,Ford,F-150,2013,14744,0.085092622,1254.61
05/20/22,Jessica Flores,Carol Turner,Ford,Civic,2014,27999,0.09029834,2528.26
07/19/22,Joseph Patterson,James Velazquez,Honda,Corolla,2010,24327,0.095457332,2322.19
01/20/23,Carrie Gordon,Joseph Marquez,Honda,Silverado,2015,35989,0.105519996,3797.56
04/19/23,Christina Avery,Courtney Miller,Nissan,Silverado,2017,21618,0.145337945,3141.92
10/07/22,Monique Green,Audrey Perry,Toyota,Corolla,2022,26862,0.09513501,2555.52
11/18/22,Tom Hunt,Tammy Wood,Chevrolet,F-150,2010,36750,0.102445532,3764.87
02/01/23,Walter Robinson,Jeffrey Gillespie,Honda,Civic,2020,19526,0.128314718,2505.47
01/24/23,Robert Gordon,Jennifer Cohen,Chevrolet,F-150,2019,26875,0.115654698,3108.22
